state_id,date_,hopital_beds,population
AL,2021-11-23,429,4934193
AL,2021-11-24,411,4934193
AL,2021-11-25,366,4934193
AL,2021-11-26,377,4934193
AL,2021-11-27,409,4934193
AL,2021-11-28,442,4934193
AL,2021-11-29,450,4934193
AL,2021-11-30,432,4934193
AL,2021-12-01,449,4934193
AL,2021-12-02,443,4934193
AL,2021-12-03,447,4934193
AL,2021-12-04,468,4934193
AL,2021-12-05,498,4934193
AL,2021-12-06,517,4934193
AL,2021-12-07,478,4934193
AL,2021-12-08,463,4934193
AL,2021-12-09,452,4934193
AL,2021-12-10,448,4934193
AL,2021-12-11,482,4934193
AL,2021-12-12,517,4934193
AL,2021-12-13,494,4934193
AL,2021-12-14,472,4934193
AL,2021-12-15,496,4934193
AL,2021-12-16,497,4934193
AL,2021-12-17,486,4934193
AL,2021-12-18,514,4934193
AL,2021-12-19,560,4934193
AL,2021-12-20,524,4934193
AL,2021-12-21,548,4934193
AL,2021-12-22,553,4934193
AL,2021-12-23,570,4934193
AL,2021-12-24,593,4934193
AL,2021-12-25,580,4934193
AL,2021-12-26,651,4934193
AL,2021-12-27,694,4934193
AL,2021-12-28,730,4934193
AL,2021-12-29,876,4934193
AL,2021-12-30,943,4934193
AL,2021-12-31,1027,4934193
AL,2022-01-01,1103,4934193
AL,2022-01-02,1256,4934193
AL,2022-01-03,1285,4934193
AL,2022-01-04,1419,4934193
AL,2022-01-05,1549,4934193
AL,2022-01-06,1648,4934193
AL,2022-01-07,1744,4934193
AL,2022-01-08,1842,4934193
AL,2022-01-09,1947,4934193
AL,2022-01-10,2053,4934193
AL,2022-01-11,2136,4934193
AL,2022-01-12,2270,4934193
AL,2022-01-13,2381,4934193
AL,2022-01-14,2514,4934193
AL,2022-01-15,2541,4934193
AL,2022-01-16,2614,4934193
AL,2022-01-17,2715,4934193
AL,2022-01-18,2897,4934193
AL,2022-01-19,2976,4934193
AL,2022-01-20,3042,4934193
AL,2022-01-21,3047,4934193
AL,2022-01-22,2992,4934193
AL,2022-01-23,3110,4934193
AL,2022-01-24,3212,4934193
AL,2022-01-25,3307,4934193
AL,2022-01-26,3231,4934193
AL,2022-01-27,3288,4934193
AL,2022-01-28,3248,4934193
AL,2022-01-29,3104,4934193
AL,2022-01-30,3113,4934193
AL,2022-01-31,3191,4934193
AL,2022-02-01,3043,4934193
AL,2022-02-02,2978,4934193
AL,2022-02-03,2930,4934193
AL,2022-02-04,2866,4934193
AL,2022-02-05,2756,4934193
AL,2022-02-06,2710,4934193
AL,2022-02-07,2670,4934193
AL,2022-02-08,2539,4934193
AL,2022-02-09,2434,4934193
AL,2022-02-10,2314,4934193
AL,2022-02-11,2167,4934193
AL,2022-02-12,1992,4934193
AL,2022-02-13,1922,4934193
AL,2022-02-14,1891,4934193
AL,2022-02-15,1860,4934193
AL,2022-02-16,1731,4934193
AL,2022-02-17,1663,4934193
AL,2022-02-18,1548,4934193
AL,2022-02-19,1447,4934193
AL,2022-02-20,1431,4934193
AL,2022-02-21,1382,4934193
AL,2022-02-22,1260,4934193
AL,2022-02-23,1150,4934193
AL,2022-02-24,1073,4934193
AL,2022-02-25,1073,4934193
AL,2022-02-26,953,4934193
AL,2022-02-27,941,4934193
AR,2021-03-01,477,3033946
AR,2021-03-02,452,3033946
AR,2021-03-03,500,3033946
AR,2021-03-04,504,3033946
AR,2021-03-05,471,3033946
AR,2021-03-06,441,3033946
AR,2021-03-07,422,3033946
AR,2021-03-08,347,3033946
AR,2021-03-09,342,3033946
AR,2021-03-10,376,3033946
AR,2021-03-11,349,3033946
AR,2021-03-12,320,3033946
AR,2021-03-13,325,3033946
AR,2021-03-14,310,3033946
AR,2021-03-15,297,3033946
AR,2021-03-16,289,3033946
AR,2021-03-17,303,3033946
AR,2021-03-18,287,3033946
AR,2021-03-19,258,3033946
AR,2021-03-20,263,3033946
AR,2021-03-21,236,3033946
AR,2021-03-22,195,3033946
AR,2021-03-23,212,3033946
AR,2021-03-24,222,3033946
AR,2021-03-25,227,3033946
AR,2021-03-26,218,3033946
AR,2021-03-27,214,3033946
AR,2021-03-28,212,3033946
AR,2021-03-29,185,3033946
AR,2021-03-30,201,3033946
AR,2021-03-31,197,3033946
AR,2021-04-01,200,3033946
AR,2021-04-02,186,3033946
AR,2021-04-03,163,3033946
AR,2021-04-04,168,3033946
AR,2021-04-05,171,3033946
AR,2021-04-06,187,3033946
AR,2021-04-07,202,3033946
AR,2021-04-08,192,3033946
AR,2021-04-09,206,3033946
AR,2021-04-10,206,3033946
AR,2021-04-11,181,3033946
AR,2021-04-12,180,3033946
AR,2021-04-13,198,3033946
AR,2021-04-14,203,3033946
AR,2021-04-15,193,3033946
AR,2021-04-16,196,3033946
AR,2021-04-17,201,3033946
AR,2021-04-18,197,3033946
AR,2021-04-19,199,3033946
AR,2021-04-20,222,3033946
AR,2021-04-21,210,3033946
AR,2021-04-22,212,3033946
AR,2021-04-23,188,3033946
AR,2021-04-24,183,3033946
AR,2021-04-25,195,3033946
AR,2021-04-26,211,3033946
AR,2021-04-27,213,3033946
AR,2021-04-28,214,3033946
AR,2021-04-29,199,3033946
AR,2021-04-30,208,3033946
AR,2021-05-01,188,3033946
AR,2021-05-02,190,3033946
AR,2021-05-03,200,3033946
AR,2021-05-04,211,3033946
AR,2021-05-05,208,3033946
AR,2021-05-06,199,3033946
AR,2021-05-07,193,3033946
AR,2021-05-08,197,3033946
AR,2021-05-09,183,3033946
AR,2021-05-10,194,3033946
AR,2021-05-11,183,3033946
AR,2021-05-12,193,3033946
AR,2021-05-13,204,3033946
AR,2021-05-14,194,3033946
AR,2021-05-15,189,3033946
AR,2021-05-16,200,3033946
AR,2021-05-17,207,3033946
AR,2021-05-18,208,3033946
AR,2021-05-19,216,3033946
AR,2021-05-20,221,3033946
AR,2021-05-21,228,3033946
AR,2021-05-22,225,3033946
AR,2021-05-23,217,3033946
AR,2021-05-24,202,3033946
AR,2021-05-25,218,3033946
AR,2021-05-26,211,3033946
AR,2021-05-27,220,3033946
AR,2021-05-28,215,3033946
AR,2021-05-29,214,3033946
AR,2021-05-30,209,3033946
AR,2021-05-31,217,3033946
AR,2021-06-01,220,3033946
AR,2021-06-02,233,3033946
AR,2021-06-03,222,3033946
AR,2021-06-04,217,3033946
AR,2021-06-05,218,3033946
AR,2021-06-06,240,3033946
AR,2021-06-07,213,3033946
AR,2021-06-08,231,3033946
AR,2021-06-09,231,3033946
AR,2021-06-10,221,3033946
AR,2021-06-11,209,3033946
AR,2021-06-12,196,3033946
AR,2021-06-13,222,3033946
AR,2021-06-14,211,3033946
AR,2021-06-15,214,3033946
AR,2021-06-16,218,3033946
AR,2021-06-17,239,3033946
AR,2021-06-18,253,3033946
AR,2021-06-19,252,3033946
AR,2021-06-20,265,3033946
AR,2021-06-21,274,3033946
AR,2021-06-22,282,3033946
AR,2021-06-23,284,3033946
AR,2021-06-24,286,3033946
AR,2021-06-25,302,3033946
AR,2021-06-26,335,3033946
AR,2021-06-27,334,3033946
AR,2021-06-28,327,3033946
AR,2021-06-29,327,3033946
AR,2021-06-30,350,3033946
AR,2021-07-01,360,3033946
AR,2021-07-02,377,3033946
AR,2021-07-03,382,3033946
AR,2021-07-04,390,3033946
AR,2021-07-05,381,3033946
AR,2021-07-06,434,3033946
AR,2021-07-07,470,3033946
AR,2021-07-08,495,3033946
AR,2021-07-09,523,3033946
AR,2021-07-10,561,3033946
AR,2021-07-11,574,3033946
AR,2021-07-12,575,3033946
AR,2021-07-13,626,3033946
AR,2021-07-14,672,3033946
AR,2021-07-15,698,3033946
AR,2021-07-16,703,3033946
AR,2021-07-17,730,3033946
AR,2021-07-18,715,3033946
AR,2021-07-19,744,3033946
AR,2021-07-20,808,3033946
AR,2021-07-21,863,3033946
AR,2021-07-22,888,3033946
AR,2021-07-23,893,3033946
AR,2021-07-24,931,3033946
AR,2021-07-25,966,3033946
AR,2021-07-26,994,3033946
AR,2021-07-27,1070,3033946
AR,2021-07-28,1101,3033946
AR,2021-07-29,1065,3033946
AR,2021-07-30,1079,3033946
AR,2021-07-31,1099,3033946
AR,2021-08-01,1127,3033946
AR,2021-08-02,1210,3033946
AR,2021-08-03,1255,3033946
