state_id,date_,new_deaths,population
AL,2021-12-14,20,4934193
AL,2021-12-15,19,4934193
AL,2021-12-16,16,4934193
AL,2021-12-17,23,4934193
AL,2021-12-18,10,4934193
AL,2021-12-19,0,4934193
AL,2021-12-20,0,4934193
AL,2021-12-21,15,4934193
AL,2021-12-22,12,4934193
AL,2021-12-23,22,4934193
AL,2021-12-24,16,4934193
AL,2021-12-25,0,4934193
AL,2021-12-26,0,4934193
AL,2021-12-27,0,4934193
AL,2021-12-28,18,4934193
AL,2021-12-29,18,4934193
AL,2021-12-30,1,4934193
AL,2021-12-31,0,4934193
AL,2022-01-01,0,4934193
AL,2022-01-02,0,4934193
AL,2022-01-03,0,4934193
AL,2022-01-04,41,4934193
AL,2022-01-05,7,4934193
AL,2022-01-06,40,4934193
AL,2022-01-07,42,4934193
AL,2022-01-08,39,4934193
AL,2022-01-09,0,4934193
AL,2022-01-10,0,4934193
AL,2022-01-11,6,4934193
AL,2022-01-12,11,4934193
AL,2022-01-13,0,4934193
AL,2022-01-14,0,4934193
AL,2022-01-15,0,4934193
AL,2022-01-16,93,4934193
AL,2022-01-17,0,4934193
AL,2022-01-18,0,4934193
AL,2022-01-19,22,4934193
AL,2022-01-20,36,4934193
AL,2022-01-21,32,4934193
AL,2022-01-22,2,4934193
AL,2022-01-23,0,4934193
AL,2022-01-24,0,4934193
AL,2022-01-25,0,4934193
AL,2022-01-26,0,4934193
AL,2022-01-27,0,4934193
AL,2022-01-28,0,4934193
AL,2022-01-29,260,4934193
AL,2022-01-30,0,4934193
AL,2022-01-31,0,4934193
AL,2022-02-01,60,4934193
AL,2022-02-02,69,4934193
AL,2022-02-03,0,4934193
AL,2022-02-04,156,4934193
AL,2022-02-05,0,4934193
AL,2022-02-06,0,4934193
AL,2022-02-07,16,4934193
AL,2022-02-08,20,4934193
AL,2022-02-09,45,4934193
AL,2022-02-10,50,4934193
AL,2022-02-11,3,4934193
AL,2022-02-12,66,4934193
AL,2022-02-13,0,4934193
AL,2022-02-14,0,4934193
AL,2022-02-15,85,4934193
AL,2022-02-16,93,4934193
