state_id,date_,new_cases,population
AL,2021-05-13,0,4934193
AL,2021-05-14,0,4934193
AL,2021-05-15,0,4934193
AL,2021-05-16,0,4934193
AL,2021-05-17,184,4934193
AL,2021-05-18,336,4934193
AL,2021-05-19,288,4934193
AL,2021-05-20,339,4934193
AL,2021-05-21,443,4934193
AL,2021-05-22,255,4934193
AL,2021-05-23,196,4934193
AL,2021-05-24,132,4934193
AL,2021-05-25,306,4934193
AL,2021-05-26,269,4934193
AL,2021-05-27,346,4934193
AL,2021-05-28,228,4934193
AL,2021-05-29,0,4934193
AL,2021-05-30,0,4934193
AL,2021-05-31,0,4934193
AL,2021-06-01,640,4934193
AL,2021-06-02,553,4934193
AL,2021-06-03,430,4934193
AL,2021-06-04,557,4934193
AL,2021-06-05,0,4934193
AL,2021-06-06,0,4934193
AL,2021-06-07,739,4934193
AL,2021-06-08,216,4934193
AL,2021-06-09,305,4934193
AL,2021-06-10,290,4934193
AL,2021-06-11,188,4934193
AL,2021-06-12,0,4934193
AL,2021-06-13,0,4934193
AL,2021-06-14,550,4934193
AL,2021-06-15,290,4934193
AL,2021-06-16,160,4934193
AL,2021-06-17,0,4934193
AL,2021-06-18,334,4934193
AL,2021-06-19,0,4934193
AL,2021-06-20,0,4934193
AL,2021-06-21,356,4934193
AL,2021-06-22,0,4934193
AL,2021-06-23,381,4934193
AL,2021-06-24,0,4934193
AL,2021-06-25,540,4934193
AL,2021-06-26,0,4934193
AL,2021-06-27,0,4934193
AL,2021-06-28,517,4934193
AL,2021-06-29,0,4934193
AL,2021-06-30,532,4934193
AL,2021-07-01,0,4934193
AL,2021-07-02,315,4934193
AL,2021-07-03,0,4934193
AL,2021-07-04,0,4934193
AL,2021-07-05,0,4934193
AL,2021-07-06,0,4934193
AL,2021-07-07,1613,4934193
AL,2021-07-08,0,4934193
AL,2021-07-09,1160,4934193
AL,2021-07-10,534,4934193
AL,2021-07-11,0,4934193
AL,2021-07-12,610,4934193
AL,2021-07-13,0,4934193
AL,2021-07-14,1398,4934193
AL,2021-07-15,965,4934193
AL,2021-07-16,999,4934193
AL,2021-07-17,901,4934193
AL,2021-07-18,724,4934193
AL,2021-07-19,718,4934193
AL,2021-07-20,1391,4934193
AL,2021-07-21,1632,4934193
AL,2021-07-22,1567,4934193
AL,2021-07-23,1733,4934193
AL,2021-07-24,1888,4934193
AL,2021-07-25,1536,4934193
AL,2021-07-26,1403,4934193
AL,2021-07-27,2667,4934193
AL,2021-07-28,2726,4934193
AL,2021-07-29,2730,4934193
AL,2021-07-30,0,4934193
AL,2021-07-31,5414,4934193
AL,2021-08-01,1798,4934193
AL,2021-08-02,1705,4934193
AL,2021-08-03,3307,4934193
AL,2021-08-04,3399,4934193
AL,2021-08-05,3817,4934193
AL,2021-08-06,3685,4934193
AL,2021-08-07,3891,4934193
AL,2021-08-08,0,4934193
AL,2021-08-09,4877,4934193
AL,2021-08-10,3815,4934193
AL,2021-08-11,3851,4934193
AL,2021-08-12,4167,4934193
AL,2021-08-13,3986,4934193
AL,2021-08-14,0,4934193
AL,2021-08-15,6992,4934193
AL,2021-08-16,2466,4934193
AL,2021-08-17,4023,4934193
AL,2021-08-18,4465,4934193
AL,2021-08-19,3890,4934193
AL,2021-08-20,3799,4934193
AL,2021-08-21,6210,4934193
AL,2021-08-22,3315,4934193
AL,2021-08-23,2588,4934193
AL,2021-08-24,0,4934193
AL,2021-08-25,0,4934193
AL,2021-08-26,11142,4934193
AL,2021-08-27,5033,4934193
AL,2021-08-28,6190,4934193
AL,2021-08-29,3433,4934193
AL,2021-08-30,3072,4934193
AL,2021-08-31,5206,4934193
AL,2021-09-01,4691,4934193
AL,2021-09-02,5312,4934193
AL,2021-09-03,5128,4934193
AL,2021-09-04,4420,4934193
AL,2021-09-05,2842,4934193
AL,2021-09-06,2566,4934193
AL,2021-09-07,2672,4934193
AL,2021-09-08,4791,4934193
AL,2021-09-09,4367,4934193
AL,2021-09-10,4800,4934193
AL,2021-09-11,4494,4934193
AL,2021-09-12,1794,4934193
AL,2021-09-13,2692,4934193
AL,2021-09-14,3944,4934193
AL,2021-09-15,3651,4934193
AL,2021-09-16,3972,4934193
AL,2021-09-17,2974,4934193
AL,2021-09-18,3462,4934193
AL,2021-09-19,2090,4934193
