state_id,date,new_cases,vaccinated_ratio,hospital_beds,new_deaths,infection_rate,population,requirements
AK,2021-11-21,0,0.539,109,0,0.85,724357,f
AK,2021-11-22,740,0.539,100,0,0.85,724357,f
AK,2021-11-23,144,0.54,95,2,0.85,724357,f
AK,2021-11-24,487,0.54,95,6,0.85,724357,f
AK,2021-11-25,0,0.54,91,0,0.85,724357,f
AK,2021-11-26,625,0.54,79,7,0.85,724357,f
AK,2021-11-27,0,0.54,81,0,0.85,724357,f
AK,2021-11-28,0,0.54,81,0,0.85,724357,f
AK,2021-11-29,720,0.541,81,1,0.85,724357,f
AK,2021-11-30,168,0.542,74,2,0.85,724357,f
AK,2021-12-01,324,0.543,75,1,0.85,724357,f
AK,2021-12-02,344,0.544,77,2,0.85,724357,f
AK,2021-12-03,317,0.545,79,0,0.85,724357,f
AK,2021-12-04,0,0.547,79,0,0.85,724357,f
AK,2021-12-05,0,0.547,82,0,0.85,724357,f
AK,2021-12-06,550,0.55,81,0,0.85,724357,f
AK,2021-12-07,0,0.55,84,0,0.85,724357,f
AK,2021-12-08,440,0.551,88,3,0.85,724357,f
AK,2021-12-09,0,0.553,78,0,0.85,724357,f
AK,2021-12-10,443,0.553,79,0,0.86,724357,f
AK,2021-12-11,0,0.554,71,0,0.86,724357,f
AK,2021-12-12,0,0.554,68,0,0.87,724357,f
AK,2021-12-13,404,0.556,68,1,0.88,724357,f
AK,2021-12-14,0,0.556,74,0,0.89,724357,f
AK,2021-12-15,396,0.557,71,2,0.91,724357,f
AK,2021-12-16,0,0.558,62,0,0.93,724357,f
AK,2021-12-17,407,0.558,65,57,0.96,724357,f
AK,2021-12-18,0,0.559,69,0,0.99,724357,f
AK,2021-12-19,0,0.559,70,0,1.02,724357,f
AK,2021-12-20,418,0.559,66,0,1.06,724357,f
AK,2021-12-21,0,0.56,56,0,1.1,724357,f
AK,2021-12-22,222,0.56,57,30,1.14,724357,f
AK,2021-12-23,0,0.561,55,0,1.19,724357,f
AK,2021-12-24,0,0.561,54,0,1.23,724357,f
AK,2021-12-25,0,0.561,53,0,1.28,724357,f
AK,2021-12-26,0,0.561,57,0,1.32,724357,f
AK,2021-12-27,876,0.561,49,0,1.36,724357,f
AK,2021-12-28,0,0.562,61,0,1.4,724357,f
AK,2021-12-29,985,0.563,63,2,1.44,724357,f
AK,2021-12-30,0,0.563,57,0,1.47,724357,f
AK,2021-12-31,0,0.564,53,0,1.49,724357,f
AK,2022-01-01,0,0.564,51,0,1.51,724357,f
AK,2022-01-02,0,0.564,55,0,1.53,724357,f
AK,2022-01-03,2889,0.565,63,1,1.54,724357,f
AK,2022-01-04,0,0.565,67,0,1.54,724357,f
AK,2022-01-05,0,0.565,67,0,1.55,724357,f
AK,2022-01-06,1037,0.566,78,0,1.54,724357,f
AK,2022-01-07,0,0.566,85,1,1.53,724357,f
AK,2022-01-08,0,0.567,88,0,1.52,724357,f
AK,2022-01-09,0,0.567,90,0,1.5,724357,f
AK,2022-01-10,3254,0.567,82,0,1.48,724357,f
AK,2022-01-11,0,0.568,94,0,1.46,724357,f
AK,2022-01-12,4509,0.568,119,5,1.43,724357,f
AK,2022-01-13,0,0.569,110,0,1.41,724357,f
AK,2022-01-14,5456,0.569,102,2,1.38,724357,f
AK,2022-01-15,0,0.57,121,0,1.35,724357,f
AK,2022-01-16,0,0.57,128,0,1.31,724357,f
AK,2022-01-17,0,0.57,104,0,1.28,724357,f
AK,2022-01-18,0,0.571,114,0,1.25,724357,f
AK,2022-01-19,10181,0.58,149,64,1.21,724357,f
AK,2022-01-20,0,0.58,160,0,1.18,724357,f
AK,2022-01-21,6478,0.581,171,0,1.15,724357,f
AK,2022-01-22,0,0.581,170,0,1.11,724357,f
AK,2022-01-23,0,0.581,157,0,1.08,724357,f
AK,2022-01-24,5632,0.582,152,19,1.04,724357,f
AK,2022-01-25,0,0.582,165,0,1.01,724357,f
AK,2022-01-26,5474,0.582,193,7,0.98,724357,f
AK,2022-01-27,0,0.583,200,0,0.95,724357,f
AK,2022-01-28,5878,0.583,196,4,0.92,724357,f
AK,2022-01-29,0,0.583,192,0,0.89,724357,f
AK,2022-01-30,0,0.583,161,0,0.86,724357,f
AK,2022-01-31,4526,0.584,159,0,0.83,724357,f
AK,2022-02-01,0,0.584,154,0,0.8,724357,f
AK,2022-02-02,4124,0.584,186,7,0.78,724357,f
AK,2022-02-03,0,0.597,166,0,0.76,724357,f
AK,2022-02-04,3806,0.598,153,0,0.73,724357,f
AK,2022-02-05,0,0.598,157,0,0.71,724357,f
AK,2022-02-06,0,0.598,164,0,0.7,724357,f
AK,2022-02-07,3043,0.598,132,0,0.68,724357,f
AK,2022-02-08,0,0.598,125,0,0.66,724357,f
AK,2022-02-09,2236,0.599,123,18,0.65,724357,f
AK,2022-02-10,0,0.599,111,0,0.64,724357,f
AK,2022-02-11,1861,0.599,116,0,0.63,724357,f
AK,2022-02-12,0,0.6,113,0,0.63,724357,f
AK,2022-02-13,0,0.6,113,0,0.63,724357,f
AK,2022-02-14,1027,0.6,104,0,0.63,724357,f
AK,2022-02-15,0,0.6,96,0,0.63,724357,f
AK,2022-02-16,1665,0.6,112,27,0.64,724357,f
AK,2022-02-17,0,0.607,102,0,0.65,724357,f
AK,2022-02-18,1136,0.608,108,0,0.66,724357,f
AK,2022-02-19,0,0.608,101,0,0.67,724357,f
AK,2022-02-20,0,0.608,102,0,0.68,724357,f
AK,2022-02-21,0,0.608,98,0,0.69,724357,f
AK,2022-02-22,0,0.609,98,0,0.7,724357,f
AK,2022-02-23,1795,0.609,100,20,0.71,724357,f
AK,2022-02-24,0,0.609,99,0,0.72,724357,f
AK,2022-02-25,919,0.609,90,0,0.73,724357,f
AK,2022-02-26,0,0.609,86,0,0.74,724357,f
AK,2022-02-27,0,0.61,85,0,0.75,724357,f
AL,2021-03-01,517,0,777,2,0.86,4934193,f
AL,2021-03-02,652,0,719,60,0.86,4934193,f
AL,2021-03-03,0,0,734,38,0.86,4934193,f
AL,2021-03-04,922,0,688,65,0.86,4934193,f
AL,2021-03-05,811,0.078,659,28,0.86,4934193,f
AL,2021-03-06,524,0.082,664,27,0.86,4934193,f
AL,2021-03-07,408,0.083,682,0,0.87,4934193,f
AL,2021-03-08,273,0.084,615,0,0.87,4934193,f
AL,2021-03-09,524,0.086,587,38,0.87,4934193,f
AL,2021-03-10,782,0.089,607,36,0.88,4934193,f
AL,2021-03-11,865,0.092,592,52,0.88,4934193,f
AL,2021-03-12,448,0.096,579,25,0.88,4934193,f
AL,2021-03-13,594,0.1,578,28,0.89,4934193,f
AL,2021-03-14,368,0.101,575,0,0.89,4934193,f
AL,2021-03-15,0,0.102,492,2,0.89,4934193,f
AL,2021-03-16,488,0.104,510,8,0.89,4934193,f
AL,2021-03-17,759,0.107,540,26,0.89,4934193,f
AL,2021-03-18,572,0.109,514,28,0.89,4934193,f
AL,2021-03-19,531,0.112,522,34,0.89,4934193,f
AL,2021-03-20,508,0.114,531,11,0.89,4934193,f
AL,2021-03-21,373,0.116,544,0,0.89,4934193,f
AL,2021-03-22,319,0.116,469,0,0.89,4934193,f
AL,2021-03-23,10,0.118,487,14,0.88,4934193,f
AL,2021-03-24,922,0.12,518,37,0.88,4934193,f
AL,2021-03-25,427,0.123,500,17,0.88,4934193,f
AL,2021-03-26,442,0.125,469,19,0.88,4934193,f
AL,2021-03-27,492,0.127,480,3,0.87,4934193,f
AL,2021-03-28,319,0.128,496,0,0.87,4934193,f
AL,2021-03-29,228,0.129,438,0,0.87,4934193,f
AL,2021-03-30,361,0.131,433,1,0.88,4934193,f
AL,2021-03-31,408,0.134,486,27,0.88,4934193,f
AL,2021-04-01,478,0.137,456,0,0.88,4934193,f
AL,2021-04-02,400,0.141,460,54,0.89,4934193,f
AL,2021-04-03,349,0.144,452,30,0.9,4934193,f
AL,2021-04-04,194,0.145,459,0,0.91,4934193,f
AL,2021-04-05,109,0.145,411,1,0.92,4934193,f
AL,2021-04-06,196,0.148,405,14,0.93,4934193,f
AL,2021-04-07,338,0.152,417,0,0.94,4934193,f
AL,2021-04-08,464,0.156,422,23,0.95,4934193,f
AL,2021-04-09,318,0.161,420,11,0.97,4934193,f
AL,2021-04-10,354,0.165,449,26,0.98,4934193,f
AL,2021-04-11,311,0.167,457,0,0.99,4934193,f
AL,2021-04-12,172,0.168,421,0,1.01,4934193,f
AL,2021-04-13,0,0.172,405,10,1.02,4934193,f
AL,2021-04-14,277,0.177,437,6,1.02,4934193,f
AL,2021-04-15,421,0.182,444,8,1.03,4934193,f
AL,2021-04-16,422,0.187,420,3,1.04,4934193,f
